"","Ensembl_ID","gene_id"
"648","ENSG00000127463","EMC1"
"649","ENSG00000053372","MRTO4"
"650","ENSG00000286064","AL035413.2"
"651","ENSG00000211454","AKR7L"
"652","ENSG00000162482","AKR7A3"
"653","ENSG00000270728","AL035413.1"
"654","ENSG00000053371","AKR7A2"
"655","ENSG00000200403","RNU6-1099P"
"656","ENSG00000040487","SLC66A1"
"657","ENSG00000265192","RN7SL85P"
"658","ENSG00000077549","CAPZB"
"659","ENSG00000240490","RN7SL277P"
"660","ENSG00000173436","MICOS10"
"661","ENSG00000201609","RNU4-28P"
"662","ENSG00000239027","snoU13"
"663","ENSG00000235185","AL031727.2"
"664","ENSG00000158747","NBL1"
"665","ENSG00000270136","MICOS10-NBL1"
"666","ENSG00000226396","AL031727.1"
"667","ENSG00000158748","HTR6"
"668","ENSG00000162542","TMCO4"
"669","ENSG00000178828","RNF186"
"670","ENSG00000235434","AL391883.1"
"671","ENSG00000169914","OTUD3"
"672","ENSG00000188784","PLA2G2E"
"673","ENSG00000242688","RN7SL304P"
"674","ENSG00000188257","PLA2G2A"
"675","ENSG00000127472","PLA2G5"
"676","ENSG00000117215","PLA2G2D"
"677","ENSG00000158786","PLA2G2F"
"678","ENSG00000227066","Z98257.1"
"679","ENSG00000187980","PLA2G2C"
"680","ENSG00000225986","UBXN10-AS1"
"681","ENSG00000162543","UBXN10"
"682","ENSG00000228105","LINC01757"
"683","ENSG00000284710","Z98257.2"
"684","ENSG00000158816","VWA5B1"
"685","ENSG00000226664","AL020998.1"
"686","ENSG00000236963","LINC01141"
"687","ENSG00000226487","AL139254.1"
"688","ENSG00000284641","AL139254.2"
"689","ENSG00000284743","AL139254.3"
"690","ENSG00000162545","CAMK2N1"
"691","ENSG00000090432","MUL1"
"692","ENSG00000215520","RPS4XP4"
"693","ENSG00000183114","FAM43B"
"694","ENSG00000158825","CDA"
"695","ENSG00000158828","PINK1"
"696","ENSG00000117242","PINK1-AS"
"697","ENSG00000257033","AL391357.1"
"698","ENSG00000244038","DDOST"
